"Data Import Template"
"Table:","Custom DocPerm"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Custom DocPerm","","","","","","","","","","","","","","","","","","","",""
"","""0c46de2a9b""","Accounts Manager","2022-01-25 10:29:55.938239","Administrator","Company",0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1
"","""0cd5174a16""","Employee Self Service","2024-06-28 14:30:38.752667","Administrator","Employee Benefit Application",0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1
"","""0d54e9c965""","Accounts User","2017-08-10 15:34:28.058054","Administrator","Payment Terms Template",0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1
"","""0ded655ba9""","Employee","2022-01-17 18:36:51.450395","Administrator","Employee Advance",0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1
"","""103bee5338""","HR User","2018-04-13 15:37:40.918990","Administrator","Attendance Request",0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
"","""10913b59a4""","Employee Self Service","2024-06-28 14:30:49.557275","Administrator","File",0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
"","""123c449686""","Employee","2022-01-25 10:29:55.938239","Administrator","Company",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"","""12e12f74ff""","Desk User","2012-11-22 17:45:46","Administrator","Letter Head",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"","""140ad97528""","HR User","2018-04-13 16:31:39.190787","Administrator","Employee Benefit Application",0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
"","""159b0ccb42""","Purchase User","2013-01-10 16:34:24","Administrator","Terms and Conditions",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"","""15aa4d8fff""","Employee","2022-01-27 13:14:35.935580","Administrator","Training Feedback",0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1
"","""16ec8a6a9b""","Employee","2013-01-10 16:34:15","Administrator","Salary Slip",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"","""18d8e9d5f5""","Sales User","2013-01-10 16:34:13","Administrator","Designation",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"","""18de0c5573""","Employee Self Service","2024-06-28 14:30:48.313654","Administrator","Currency",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""18e582ac15""","Projects Manager","2013-03-07 11:55:07","Administrator","Project",0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1
"","""1a1710c5b0""","Employee Self Service","2024-06-28 14:30:46.469896","Administrator","Shift Type",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""1a293815c5""","Employee Self Service","2024-06-28 14:30:47.754583","Administrator","Payroll Period",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""1bf54ea85b""","HR User","2013-01-10 16:34:13","Administrator","Branch",0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1
"","""1bfbb5e2fc""","Delivery Manager","2024-07-15 09:17:31.672592","Administrator","Delivery Note",0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1
"","""1d4a76e873""","Accounts User","2012-12-04 17:49:20","Administrator","Mode of Payment",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"","""1df9ea3a75""","HR Manager","2018-04-13 14:51:39.326768","Administrator","Compensatory Leave Request",0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1
"","""1e07de4fed""","System Manager","2018-05-10 12:04:08.396461","Administrator","Additional Salary",0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
"","""1f0ec123be""","Stock User","2017-10-16 16:45:48.293335","Administrator","Delivery Trip",0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
"","""1f850ea487""","Employee Self Service","2024-06-28 14:30:47.429540","Administrator","Supplier",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""2054d0eb68""","HR Manager","2013-01-10 16:34:15","Administrator","Salary Slip",0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1
"","""21b97b51ad""","Employee Self Service","2024-06-28 14:30:47.036394","Administrator","Mode of Payment",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""21fad7d992""","Employee","2018-04-13 14:51:39.326768","Administrator","Compensatory Leave Request",0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1
"","""2262b19f93""","Employee Self Service","2024-06-28 14:30:39.267066","Administrator","Employee Advance",0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1
"","""230fe81ee4""","Employee Self Service","2024-06-28 14:30:46.227796","Administrator","Project",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""235442e68a""","System Manager","2013-02-18 13:36:19","Administrator","DocType",0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1
"","""2405527839""","All","2017-04-10 12:11:36.526508","Administrator","Gender",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"","""25f1ab17ef""","Employee","2013-02-21 09:55:58","Administrator","Leave Type",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"","""26ca436f7e""","Employee Self Service","2024-06-28 14:30:46.049529","Administrator","Task",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""2781139f55""","Employee Self Service","2024-06-28 14:30:38.928078","Administrator","Expense Claim",0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1
"","""29870b5ed1""","Employee Self Service","2024-06-28 14:30:47.607289","Administrator","Finance Book",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""2a119e2063""","Auditor","2022-01-25 10:29:58.717206","Administrator","Journal Entry",0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
"","""2affb4bc11""","HR User","2013-02-20 11:18:11","Administrator","Leave Application",0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
"","""2c33301279""","System Manager","2021-05-11 13:41:51.485295","Administrator","Employee Grievance",0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"","""2cab97ee5c""","Leave Approver","2013-02-20 11:18:11","Administrator","Leave Application",0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1
"","""2d6e76b8c8""","Purchase User","2013-01-23 19:57:17","Administrator","Cost Center",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"","""2dedaf47c6""","Employee","2018-04-13 17:24:11.456132","Administrator","Employee Tax Exemption Proof Submission",0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
"","""2ea97c11f3""","HR Manager","2017-03-27 14:32:51.628588","Administrator","Employee Health Insurance",0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1
"","""31f3dea13e""","Accounts Manager","2017-08-10 15:34:28.058054","Administrator","Payment Terms Template",0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1
"","""3440d43b4f""","Employee Self Service","2024-06-28 14:30:45.169539","Administrator","Vehicle Log",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""34633c989b""","Employee Self Service","2024-06-28 14:30:49.168375","Administrator","Customer",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""370bfd4ec1""","Employee Self Service","2024-06-28 14:30:41.864674","Administrator","Employee Referral",0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1
"","""380f32c5b4""","HR User","2013-02-05 11:48:26","Administrator","Department",0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1
"","""38214c9ea7""","HR User","2018-04-13 16:53:36.175504","Administrator","Employee Tax Exemption Declaration",0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
"","""38d5aa74bc""","Employee Self Service","2024-06-28 14:30:48.669218","Administrator","Letter Head",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""3905b5e155""","Employee Self Service","2024-06-28 14:30:39.781309","Administrator","Attendance Request",0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1
"","""3af16cad09""","Stock User","2013-06-11 14:26:44","Administrator","Customer",0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
"","""3b6281198d""","Accounts Manager","2013-06-11 14:26:44","Administrator","Customer",0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
"","""3bac4ff593""","Purchase User","2023-05-29 13:02:17.121296","Administrator","Warehouse",0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
"","""3c7378be7e""","HR Manager","2018-04-13 15:37:40.918990","Administrator","Attendance Request",0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
"","""3dbae2b68b""","Employee Self Service","2024-06-28 14:30:42.169858","Administrator","Employee Grade",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""3e073162e4""","Fleet Manager","2016-09-03 14:14:51.788550","Administrator","Vehicle Log",0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1
"","""3ed0b22251""","Sales User","2013-01-23 19:57:17","Administrator","Cost Center",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"","""3f88a73b9e""","Purchase User","2013-01-10 16:34:11","Administrator","Supplier",0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
"","""422737c9e4""","Purchase User","2013-01-30 12:49:46","Administrator","Account",0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
"","""423c07d101""","Employee Self Service","2024-06-28 14:30:46.887549","Administrator","Account",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""42b42864d5""","Stock User","2024-07-15 09:17:31.691003","Administrator","Delivery Note",0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1
"","""44f82c51b1""","Employee Self Service","2024-06-28 14:30:39.066372","Administrator","Expense Claim Type",0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1
"","""452d55bf2d""","Desk User","2013-03-07 11:55:07","Administrator","Project",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"","""45d8c9a8c6""","HR User","2018-04-13 16:32:27.974273","Administrator","Shift Request",0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1
"","""45ec88c69e""","Administrator","2017-04-10 12:17:58.071915","Administrator","Salutation",0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1
"","""46a6cfcea4""","Sales User","2013-01-28 10:06:02","Administrator","Currency",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"","""46e2e91219""","HR User","2021-03-23 14:54:45.047051","Administrator","Employee Referral",0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,1
"","""488a5ed649""","Accounts User","2013-01-23 19:57:17","Administrator","Cost Center",0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
"","""48fe4b08ab""","Accounts User","2013-02-28 17:57:33","Administrator","Timesheet",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"","""4945dffdff""","System Manager","2019-06-10 11:56:34.536413","Administrator","Employee Checkin",0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,1
"","""49709583b4""","HR Manager","2012-03-27 14:35:55","Administrator","Expense Claim Type",0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1
"","""4989706a9d""","System Manager","2022-01-10 17:29:51.672911","Administrator","User",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"","""4a974f4a4d""","All","2012-12-12 11:19:22","Administrator","File",0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
"","""4caa9ffd06""","HR Manager","2021-03-23 14:54:45.047051","Administrator","Employee Referral",0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,1
"","""4d51e38492""","HR User","2021-03-23 14:54:45.047051","Administrator","Employee Referral",0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1
"","""4d886d6812""","Employee Self Service","2024-06-28 14:30:44.841475","Administrator","DocType",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""4e2c8c68b0""","Employee Self Service","2024-06-28 14:30:37.897307","Administrator","Holiday List",0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1
"","""4ed16f88d2""","HR Manager","2017-10-11 04:43:17.230065","Administrator","Training Program",0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1
"","""4f5f98c13c""","HR Manager","2013-01-10 16:34:14","Administrator","Holiday List",0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1
"","""50abc06126""","Sales User","2024-07-15 09:17:31.662999","Administrator","Delivery Note",0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1
"","""5200f8c094""","Fulfillment User","2017-10-16 16:45:48.293335","Administrator","Delivery Trip",0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
"","""523b64b1a7""","Employee","2016-06-30 15:42:43.631931","Administrator","Salary Component",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"","""529c51808e""","Employee","2019-06-10 11:56:34.536413","Administrator","Employee Checkin",0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
"","""54346756e7""","Employee Self Service","2024-06-28 14:30:42.556860","Administrator","Sales Invoice",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""5504a27f6c""","HR Manager","2013-02-20 11:18:11","Administrator","Leave Application",0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
"","""555c963681""","Academics User","2013-02-05 11:48:26","Administrator","Department",0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1
"","""55e71ff23b""","System Manager","2017-04-10 12:17:58.071915","Administrator","Salutation",0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1
"","""57737b66b1""","HR Manager","2018-04-13 16:32:27.974273","Administrator","Shift Request",0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
"","""598c5c72f0""","Stock User","2022-01-25 10:29:55.938239","Administrator","Company",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"","""59cf5e0edb""","Projects User","2013-02-28 17:57:33","Administrator","Timesheet",0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1
"","""5a84213191""","System Manager","2018-05-15 07:13:28.620570","Administrator","Identification Document Type",0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1
"","""5ae76e7ca0""","HR Manager","2018-04-13 17:24:11.456132","Administrator","Employee Tax Exemption Proof Submission",0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
"","""5b0bf4d203""","Employee Self Service","2024-06-28 14:30:42.817667","Administrator","Leave Allocation",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""5b0ff09639""","Employee Self Service","2024-06-28 14:30:41.235371","Administrator","Employee Checkin",0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1
"","""5c31e11dcc""","HR User","2018-04-13 15:18:53.698553","Administrator","Payroll Period",0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1
"","""5cb4baf6da""","Stock Manager","2013-01-10 16:34:11","Administrator","Supplier",0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
"","""5cd1c2d20e""","Employee Self Service","2024-06-28 14:30:43.098763","Administrator","Terms and Conditions",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""5d4e20b1ee""","Manufacturing User","2013-02-28 17:57:33","Administrator","Timesheet",0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
"","""5f0614cfa4""","HR Manager","2013-01-10 16:34:14","Administrator","Expense Claim",0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
"","""5f584d29a0""","Leave Approver","2013-02-20 11:18:11","Administrator","Leave Application",0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
"","""60756f332f""","System Manager","2017-04-10 12:11:36.526508","Administrator","Gender",0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1
"","""634f8a9ea6""","HR User","2021-05-11 13:41:51.485295","Administrator","Employee Grievance",0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1
"","""6416229665""","System Manager","2013-01-19 10:23:30","Administrator","Country",0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1
"","""643753d07c""","Purchase Master Manager","2013-01-10 16:34:11","Administrator","Supplier",0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1
"","""648150d2c2""","Employee Self Service","2024-06-28 14:30:45.477623","Administrator","Salary Structure",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""6481d0d94d""","System Manager","2012-11-22 17:45:46","Administrator","Letter Head",0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1
"","""64a895ae13""","Employee Self Service","2024-06-28 14:30:41.582065","Administrator","Employee Grievance",0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1
"","""6524607e6d""","System Manager","2022-01-10 17:29:51.672911","Administrator","User",0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1
"","""65cbb30780""","HR Manager","2018-04-13 16:22:52.954783","Administrator","Shift Type",0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1
"","""670e04c987""","Sales User","2013-01-30 12:49:46","Administrator","Account",0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
"","""67527b22c3""","All","2022-01-25 10:29:57.771398","Administrator","Sales Invoice",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"","""6993b5c9dd""","Auditor","2013-01-23 19:57:17","Administrator","Cost Center",0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
"","""6b82af791c""","HR User","2013-02-28 17:57:33","Administrator","Timesheet",0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
"","""6bea5646a5""","Accounts User","2023-05-29 13:02:17.121296","Administrator","Warehouse",0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
"","""6c123ce6cd""","System Manager","2018-04-13 14:51:39.326768","Administrator","Compensatory Leave Request",0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1
"","""6c15f88497""","System Manager","2013-03-05 10:14:59","Administrator","Activity Type",0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1
"","""6cc4cc360a""","Employee","2013-03-05 10:14:59","Administrator","Activity Type",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"","""6d9e5060f9""","Sales User","2013-06-11 14:26:44","Administrator","Customer",0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1
"","""6dd4385c71""","Accounts Manager","2013-01-30 12:49:46","Administrator","Account",0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1
"","""6e47568aa7""","Accounts User","2013-01-10 16:34:24","Administrator","Terms and Conditions",0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1
"","""6ed6f6bead""","HR User","2018-04-13 17:24:11.456132","Administrator","Employee Tax Exemption Proof Submission",0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
"","""6f97cb7aba""","System Manager","2018-04-13 16:31:39.190787","Administrator","Employee Benefit Application",0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
"","""7134f5ddc8""","Employee Self Service","2024-06-28 14:30:42.381527","Administrator","Branch",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""716b5eaf4f""","Accounts User","2013-01-10 16:34:11","Administrator","Supplier",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"","""71906e39d3""","Projects User","2013-01-29 19:25:50","Administrator","Task",0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1
"","""71ac6c8f84""","Employee Self Service","2024-06-28 14:30:49.411250","Administrator","Delivery Trip",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""71d341a0e6""","Employee Self Service","2024-06-28 14:30:43.639453","Administrator","Warehouse",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""72e62a15ec""","HR Manager","2018-04-13 16:51:36.971140","Administrator","Employee Tax Exemption Category",0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1
"","""74f7af5a33""","Accounts Manager","2013-01-10 16:34:11","Administrator","Supplier",0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
"","""75d9609c91""","All","2013-02-20 11:18:11","Administrator","Leave Application",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"","""765bb87dca""","Employee Self Service","2024-06-28 14:30:47.186053","Administrator","User",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""77875e7747""","Stock Manager","2013-06-11 14:26:44","Administrator","Customer",0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
"","""77e8a43fe4""","Employee Self Service","2024-06-28 14:30:40.914873","Administrator","Training Feedback",0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1
"","""77eec6a7fa""","Delivery User","2017-10-16 16:45:48.293335","Administrator","Delivery Trip",0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
"","""7a502cabb8""","Accounts User","2013-01-30 12:49:46","Administrator","Account",0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1
"","""7b7a99bc33""","Employee Self Service","2024-06-28 14:30:43.180305","Administrator","Payroll Entry",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""7cce98f276""","Stock User","2013-01-10 16:34:11","Administrator","Supplier",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"","""7da15f6bcf""","HR User","2019-06-10 11:56:34.536413","Administrator","Employee Checkin",0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,1
"","""7de3595ba4""","Employee","2021-05-11 12:41:50.256071","Administrator","Grievance Type",0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1
"","""7eab411f3d""","System Manager","2018-04-13 16:51:36.971140","Administrator","Employee Tax Exemption Category",0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1
"","""7ee1fbe085""","System Manager","2012-12-12 11:19:22","Administrator","File",0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1
"","""7f08fff3d6""","Sales Master Manager","2013-06-11 14:26:44","Administrator","Customer",0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1
"","""7f0bc21d88""","Employee Self Service","2024-06-28 14:30:46.560897","Administrator","Purpose of Travel",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""80e27b0e71""","HR Manager","2013-02-05 11:48:26","Administrator","Department",0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1
"","""81765c50a3""","Employee Self Service","2024-06-28 14:30:44.523248","Administrator","Department",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""838c41e90e""","HR Manager","2021-03-23 14:54:45.047051","Administrator","Employee Referral",0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1
"","""841354f825""","Employee Self Service","2024-06-28 14:30:39.578787","Administrator","Leave Application",0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1
"","""85d68d79be""","Employee Self Service","2024-06-28 14:30:45.026705","Administrator","Leave Type",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""86df876baf""","System Manager","2018-04-13 17:24:11.456132","Administrator","Employee Tax Exemption Proof Submission",0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
"","""86f465b3f3""","System Manager","2021-03-23 14:54:45.047051","Administrator","Employee Referral",0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1
"","""8789e9aef9""","Sales Master Manager","2013-06-11 14:26:44","Administrator","Customer",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"","""8799e97c09""","Expense Approver","2013-01-10 16:34:14","Administrator","Expense Claim",0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1
"","""87f1073ecb""","All","2022-01-10 17:29:51.672911","Administrator","User",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"","""8942f12aee""","Employee","2018-04-13 16:22:52.954783","Administrator","Shift Type",0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1
"","""898b1705ab""","HR Manager","2013-02-20 19:10:38","Administrator","Leave Allocation",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"","""8a2b2bf786""","System Manager","2018-05-09 12:47:26.983095","Administrator","Employee Tax Exemption Sub Category",0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1
"","""8a66ab0d3f""","HR User","2022-02-21 11:54:09.632218","Administrator","Employee",0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1
"","""8cd309ae9a""","HR User","2013-02-20 11:18:11","Administrator","Leave Application",0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1
