"","""Attendance""","Attendance","2022-08-21 14:13:18.835357","Administrator",0,1,"HR","","","""b570c0cf7e""","2022-08-21 14:13:18.835357","Administrator","Attendance Count","Full","","""5d1cf0bc75""","2022-08-21 14:13:18.835357","Administrator","Total Present (This Month)"
"","","","","","","","","","","""f3de2cd0a4""","2022-08-21 14:13:18.835357","Administrator","Timesheet Activity Breakup","Half","","""cb4c4c3e80""","2022-08-21 14:13:18.835357","Administrator","Total Absent (This Month)"
"","","","","","","","","","","""ec509f5fa5""","2022-08-21 14:13:18.835357","Administrator","Shift Assignment Breakup","Half","","""03f75ae75e""","2022-08-21 14:13:18.835357","Administrator","Late Entry (This Month)"
"","","","","","","","","","","""b04aa9f85c""","2022-08-21 14:13:18.835357","Administrator","Department wise Timesheet Hours","Full","","""46218f6a2a""","2022-08-21 14:13:18.835357","Administrator","Early Exit (This Month)"
"","""Buying""","Buying","2020-07-20 21:01:02.541065","Administrator",0,1,"Buying","","","""9c284b4980""","2020-07-20 21:01:02.541065","Administrator","Purchase Order Trends","Full","","""76a1fa7488""","2020-07-20 21:01:02.541065","Administrator","Annual Purchase"
"","","","","","","","","","","""e3f61a7550""","2020-07-20 21:01:02.541065","Administrator","Material Request Analysis","Half","","""0f1eae527d""","2020-07-20 21:01:02.541065","Administrator","Purchase Orders to Receive"
"","","","","","","","","","","""2bc253a55f""","2020-07-20 21:01:02.541065","Administrator","Purchase Order Analysis","Half","","""7af825ea10""","2020-07-20 21:01:02.541065","Administrator","Purchase Orders to Bill"
"","","","","","","","","","","""d0ad9c0c70""","2020-07-20 21:01:02.541065","Administrator","Top Suppliers","Full","","""8959ded4b5""","2020-07-20 21:01:02.541065","Administrator","Active Suppliers"
"","""CRM""","CRM","2020-07-20 20:17:15.985657","Administrator",0,1,"CRM","","","""749eba1f97""","2020-07-20 20:17:15.985657","Administrator","Incoming Leads","Full","","""afeb2007f1""","2020-07-20 20:17:15.985657","Administrator","New Lead (Last 1 Month)"
"","","","","","","","","","","""34b136ab05""","2020-07-20 20:17:15.985657","Administrator","Opportunity Trends","Full","","""931b40f2c0""","2020-07-20 20:17:15.985657","Administrator","New Opportunity (Last 1 Month)"
"","","","","","","","","","","""97150bb580""","2020-07-20 20:17:15.985657","Administrator","Won Opportunities","Full","","""e0d3c03679""","2020-07-20 20:17:15.985657","Administrator","Won Opportunity (Last 1 Month)"
"","","","","","","","","","","""ba60fd9deb""","2020-07-20 20:17:15.985657","Administrator","Territory Wise Opportunity Count","Half","","""a869524d95""","2020-07-20 20:17:15.985657","Administrator","Open Opportunity"
"","","","","","","","","","","""a6d6bf8b62""","2020-07-20 20:17:15.985657","Administrator","Opportunities via Campaigns","Half","","","","",""
"","","","","","","","","","","""091771f5a0""","2020-07-20 20:17:15.985657","Administrator","Territory Wise Sales","Full","","","","",""
"","","","","","","","","","","""38f216f748""","2020-07-20 20:17:15.985657","Administrator","Lead Source","Half","","","","",""
"","""Employee Lifecycle""","Employee Lifecycle","2022-08-21 12:07:21.614561","Administrator",0,1,"HR","","","""571f342985""","2022-08-21 12:07:21.614561","Administrator","Grievance Type","Half","","""1a99e2bcd3""","2022-08-21 12:07:21.614561","Administrator","Onboardings (This Month)"
"","","","","","","","","","","""cd216da92d""","2022-08-21 12:07:21.614561","Administrator","Training Type","Half","","""7b12509360""","2022-08-21 12:07:21.614561","Administrator","Separations (This Month)"
"","","","","","","","","","","""49961ad112""","2022-08-21 12:07:21.614561","Administrator","Y-O-Y Transfers","Half","","""5b43bc59a0""","2022-08-21 12:07:21.614561","Administrator","Promotions (This Month)"
"","","","","","","","","","","""d606a32126""","2022-08-21 12:07:21.614561","Administrator","Y-O-Y Promotions","Half","","""30d0cd7044""","2022-08-21 12:07:21.614561","Administrator","Transfers (This Month)"
"","","","","","","","","","","","","","","","","""f1cf6520a1""","2022-08-21 12:07:21.614561","Administrator","Trainings (This Month)"
"","""Expense Claims""","Expense Claims","2022-08-31 23:00:07.341160","Administrator",0,1,"HR","","","""8e60acc59b""","2022-08-31 23:00:07.341160","Administrator","Expense Claims","Full","","""3903d19c50""","2022-08-31 23:00:07.341160","Administrator","Expense Claims (This Month)"
"","","","","","","","","","","""299d273487""","2022-08-31 23:00:07.341160","Administrator","Claims by Type","Half","","""6634333509""","2022-08-31 23:00:07.341160","Administrator","Approved Claims (This Month)"
"","","","","","","","","","","""e9d55dbf83""","2022-08-31 23:00:07.341160","Administrator","Employee Advance Status","Half","","""3ca5becf57""","2022-08-31 23:00:07.341160","Administrator","Rejected Claims (This Month)"
"","","","","","","","","","","""7f3270ec2a""","2022-08-31 23:00:07.341160","Administrator","Department wise Expense Claims","Full","","","","",""
"","""Human Resource""","Human Resource","2023-11-17 14:10:56.741833","Administrator",0,1,"HR","","","""bpvgsf15ln""","2023-11-17 14:10:56.741833","Administrator","Hiring vs Attrition Count","Full","","""bpvgueb2rk""","2023-11-17 14:10:56.741833","Administrator","Total Employees"
"","","","","","","","","","","""bpvg066i5m""","2023-11-17 14:10:56.741833","Administrator","Employees by Age","Full","","""bpvgvvhb4m""","2023-11-17 14:10:56.741833","Administrator","New Hires (This Year)"
"","","","","","","","","","","""bpvgsichbb""","2023-11-17 14:10:56.741833","Administrator","Gender Diversity Ratio","Half","","""bpvgk4shmb""","2023-11-17 14:10:56.741833","Administrator","Employee Exits (This Year)"
"","","","","","","","","","","""bpvg2fj3v7""","2023-11-17 14:10:56.741833","Administrator","Employees by Type","Half","","""bpvgdud7la""","2023-11-17 14:10:56.741833","Administrator","Employees Joining (This Quarter)"
"","","","","","","","","","","""bpvg9p30gv""","2023-11-17 14:10:56.741833","Administrator","Employees by Grade","Half","","""bpvgt6mc27""","2023-11-17 14:10:56.741833","Administrator","Employees Relieving (This Quarter)"
"","","","","","","","","","","""bpvg8bljf8""","2023-11-17 14:10:56.741833","Administrator","Employees by Branch","Half","","","","",""
"","","","","","","","","","","""bpvggvpu9o""","2023-11-17 14:10:56.741833","Administrator","Designation Wise Employee Count","Half","","","","",""
"","","","","","","","","","","""bpvg6viv0c""","2023-11-17 14:10:56.741833","Administrator","Department Wise Employee Count","Half","","","","",""
"","""Manufacturing""","Manufacturing","2020-07-08 22:40:22.626607","Administrator",0,1,"Manufacturing","","","""bea8dae8e0""","2020-07-08 22:40:22.626607","Administrator","Produced Quantity","Half","","""b1cebaebc8""","2020-07-08 22:40:22.626607","Administrator","Monthly Total Work Order"
"","","","","","","","","","","""d45caa89b9""","2020-07-08 22:40:22.626607","Administrator","Completed Operation","Half","","""5027280918""","2020-07-08 22:40:22.626607","Administrator","Monthly Completed Work Order"
"","","","","","","","","","","""2203b6aa51""","2020-07-08 22:40:22.626607","Administrator","Work Order Analysis","Half","","""1b8c9f1d39""","2020-07-08 22:40:22.626607","Administrator","Ongoing Job Card"
"","","","","","","","","","","""93581050f9""","2020-07-08 22:40:22.626607","Administrator","Quality Inspection Analysis","Half","","""02ed85b09e""","2020-07-08 22:40:22.626607","Administrator","Monthly Quality Inspection"
"","","","","","","","","","","""2c0fb5fea5""","2020-07-08 22:40:22.626607","Administrator","Pending Work Order","Half","","","","",""
"","","","","","","","","","","""a122992f82""","2020-07-08 22:40:22.626607","Administrator","Last Month Downtime Analysis","Half","","","","",""
"","","","","","","","","","","""d54e3c9cd8""","2020-07-08 22:40:22.626607","Administrator","Work Order Qty Analysis","Full","","","","",""
"","","","","","","","","","","""0cc471173d""","2020-07-08 22:40:22.626607","Administrator","Job Card Analysis","Full","","","","",""
"","""Payroll""","Payroll","2020-07-22 11:56:34.727185","Administrator",1,1,"Payroll","","","""c806b30d17""","2020-07-22 11:56:34.727185","Administrator","Outgoing Salary","Full","","""5a31bea5c8""","2020-07-22 11:56:34.727185","Administrator","Total Declaration Submitted"
"","","","","","","","","","","""ef85caa3a3""","2020-07-22 11:56:34.727185","Administrator","Designation Wise Salary(Last Month)","Half","","""d1c45000dc""","2020-07-22 11:56:34.727185","Administrator","Total Salary Structure"
"","","","","","","","","","","""42d7ae2d8a""","2020-07-22 11:56:34.727185","Administrator","Department Wise Salary(Last Month)","Half","","""085884a390""","2020-07-22 11:56:34.727185","Administrator","Total Incentive Given(Last month)"
"","","","","","","","","","","","","","","","","""aff1eb63f5""","2020-07-22 11:56:34.727185","Administrator","Total Outgoing Salary(Last month)"
"","""Project""","Project","2020-07-20 20:17:16.397373","Administrator",0,1,"Projects","","","""0240792eaf""","2020-07-20 20:17:16.397373","Administrator","Project Summary","Full","","","","",""
"","""Recruitment""","Recruitment","2022-08-20 21:07:07.337973","Administrator",0,1,"HR","","","""c71d484783""","2022-08-20 21:07:07.337973","Administrator","Job Applicant Pipeline","Half","","""db80d582bf""","2022-08-20 21:07:07.337973","Administrator","Job Openings"
"","","","","","","","","","","""78143da0ba""","2022-08-20 21:07:07.337973","Administrator","Job Applicant Source","Half","","""c026481162""","2022-08-20 21:07:07.337973","Administrator","Total Applicants (This month)"
"","","","","","","","","","","""3ade0ad9d9""","2022-08-20 21:07:07.337973","Administrator","Job Applicants by Country","Half","","""46a61564e8""","2022-08-20 21:07:07.337973","Administrator","Accepted Job Applicants"
"","","","","","","","","","","""56f9a91d08""","2022-08-20 21:07:07.337973","Administrator","Job Application Status","Half","","""18cbfaed01""","2022-08-20 21:07:07.337973","Administrator","Rejected Job Applicants"
"","","","","","","","","","","""71933f61f4""","2022-08-20 21:07:07.337973","Administrator","Job Offer Status","Half","","""300263c8d2""","2022-08-20 21:07:07.337973","Administrator","Job Offers (This Month)"
"","","","","","","","","","","""a8de76ec62""","2022-08-20 21:07:07.337973","Administrator","Interview Status","Half","","""c2da5a6a10""","2022-08-20 21:07:07.337973","Administrator","Applicant-to-Hire Percentage"
"","","","","","","","","","","""e6d520775c""","2022-08-20 21:07:07.337973","Administrator","Job Application Frequency","Full","","""2a043c0ef1""","2022-08-20 21:07:07.337973","Administrator","Job Offer Acceptance Rate"
"","","","","","","","","","","""e8df1c9cc3""","2022-08-20 21:07:07.337973","Administrator","Department Wise Openings","Half","","""81a076165f""","2022-08-20 21:07:07.337973","Administrator","Time to Fill"
"","","","","","","","","","","""1c7036e1e9""","2022-08-20 21:07:07.337973","Administrator","Designation Wise Openings","Half","","","","",""
"","""Selling""","Selling","2020-07-20 20:17:16.688162","Administrator",0,1,"Selling","","","""f5bd732055""","2020-07-20 20:17:16.688162","Administrator","Sales Order Trends","Full","","""518bc47c0a""","2020-07-20 20:17:16.688162","Administrator","Annual Sales"
"","","","","","","","","","","""5393d9c450""","2020-07-20 20:17:16.688162","Administrator","Top Customers","Half","","""9fc605fd58""","2020-07-20 20:17:16.688162","Administrator","Sales Orders to Deliver"
"","","","","","","","","","","""a6dc55fdc7""","2020-07-20 20:17:16.688162","Administrator","Sales Order Analysis","Half","","""d83b84c84d""","2020-07-20 20:17:16.688162","Administrator","Sales Orders to Bill"
"","","","","","","","","","","""f91d4d6a77""","2020-07-20 20:17:16.688162","Administrator","Item-wise Annual Sales","Full","","""1c7d10e8b5""","2020-07-20 20:17:16.688162","Administrator","Active Customers"
"","""Stock""","Stock","2020-07-20 21:01:04.549136","Administrator",0,1,"Stock","","","""29f219278a""","2020-07-20 21:01:04.549136","Administrator","Warehouse wise Stock Value","Full","","""9b7134a708""","2020-07-20 21:01:04.549136","Administrator","Total Active Items"
"","","","","","","","","","","""146692b658""","2020-07-20 21:01:04.549136","Administrator","Purchase Receipt Trends","Half","","""1be73cb856""","2020-07-20 21:01:04.549136","Administrator","Total Warehouses"
"","","","","","","","","","","""0b7e2d1693""","2020-07-20 21:01:04.549136","Administrator","Delivery Trends","Half","","""1f8d02ffa3""","2020-07-20 21:01:04.549136","Administrator","Total Stock Value"
"","","","","","","","","","","""6815c3885a""","2020-07-20 21:01:04.549136","Administrator","Oldest Items","Half","","","","",""
"","","","","","","","","","","""9c2d15bd6d""","2020-07-20 21:01:04.549136","Administrator","Item Shortage Summary","Half","","","","",""
