"Data Import Template"
"Table:","Dashboard Chart"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Dashboard Chart","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","~","Dashboard Chart Field","y_axis","","","","~","Has Role","roles","",""
"Column Labels:","ID","Chart Name","Filters JSON","Created On","Created By","Is Standard","Module","Chart Type","Report Name","Use Report Chart","X Field","Chart Source","Document Type","Parent Document Type","Time Series Based On","Value Based On","Group By Type","Group By Based On","Aggregate Function Based On","Number of Groups","Is Public","Year","Timespan","From Date","To Date","Time Interval","Time Series","Type","Dynamic Filters JSON","Custom Options","Color","Last Synced On","","ID","Created On","Created By","Y Field","Color","","ID","Created On","Created By","Role"
"","""Employees by Age""","Employees by Age","{}","2022-08-22 19:07:51.906347","Administrator",1,"HR","Custom","",0,"","Employees by Age","","","","","Count","","",0,1,"","Last Year","","","Yearly",0,"Bar","{""company"":""frappe.defaults.get_user_default(\""Company\"")""}","{
	""colors"": [""#7cd6fd""],
	""barOptions"": {""spaceRatio"": 0.5}
}","","22-08-2022 19:00:02","","","","","","","","","","",""
"","""Employees by Branch""","Employees by Branch","[[""Employee"",""status"",""="",""Active"",false]]","2022-08-22 12:33:43.241006","Administrator",1,"HR","Group By","",0,"","","Employee","","","","Count","branch","",0,1,"","Last Year","","","Yearly",0,"Pie","[[""Employee"",""company"",""="",""frappe.defaults.get_user_default(\""Company\"")""]]","","","22-08-2022 12:25:47","","","","","","","","","","",""
"","""Employees by Grade""","Employees by Grade","[[""Employee"",""status"",""="",""Active"",false]]","2022-08-22 12:33:23.767559","Administrator",1,"HR","Group By","",0,"","","Employee","","","","Count","grade","",0,1,"","Last Year","","","Yearly",0,"Pie","[[""Employee"",""company"",""="",""frappe.defaults.get_user_default(\""Company\"")""]]","","","22-08-2022 12:25:47","","","","","","","","","","",""
"","""Employees by Type""","Employees by Type","[[""Employee"",""status"",""="",""Active"",false]]","2022-08-22 13:49:59.343893","Administrator",1,"HR","Group By","",0,"","","Employee","","","","Count","employment_type","",0,1,"","Last Year","","","Yearly",0,"Pie","[[""Employee"",""company"",""="",""frappe.defaults.get_user_default(\""Company\"")""]]","","","22-08-2022 13:45:38","","","","","","","","","","",""
"","""Expense Claims""","Expense Claims","[[""Expense Claim"",""docstatus"",""="",""1"",false]]","2022-08-21 14:07:24.120739","Administrator",1,"HR","Sum","",0,"","","Expense Claim","","posting_date","total_sanctioned_amount","Count","","",0,1,"","Last Year","","","Monthly",1,"Line","[[""Expense Claim"",""company"",""="",""frappe.defaults.get_user_default(\""Company\"")""]]","","#449CF0","09-07-2024 10:51:37","","","","","","","","","","",""
"","""Gender Diversity Ratio""","Gender Diversity Ratio","[[""Employee"",""status"",""="",""Active"",false]]","2020-07-22 11:56:32.667291","Administrator",1,"HR","Group By","",0,"","","Employee","","","","Count","gender","",0,1,"","Last Year","","","Yearly",0,"Pie","[[""Employee"",""company"",""="",""frappe.defaults.get_user_default(\""Company\"")""]]","","","22-07-2020 14:27:40","","","","","","","","","","",""
"","""Grievance Type""","Grievance Type","[[""Employee Grievance"",""docstatus"",""="",""1"",false]]","2022-08-21 13:02:06.880100","Administrator",1,"HR","Group By","",0,"","","Employee Grievance","","","","Count","grievance_type","",0,1,"","Last Year","","","Yearly",0,"Pie","","","","21-08-2022 13:08:57","","","","","","","","","","",""
"","""Hiring vs Attrition Count""","Hiring vs Attrition Count","{""time_interval"":""Monthly""}","2022-08-21 22:58:12.740936","Administrator",1,"HR","Custom","",0,"","Hiring vs Attrition Count","","","","","Count","","",0,1,"","Last Year","","","Yearly",0,"Line","{""company"":""frappe.defaults.get_user_default(\""Company\"")"", ""from_date"":""frappe.defaults.get_user_default(\""year_start_date\"")"", ""to_date"":""frappe.defaults.get_user_default(\""year_end_date\"")""}","{
	""type"": ""axis-mixed"",
	""axisOptions"": {
		""xIsSeries"": 1
	},
	""lineOptions"": {
	    ""regionFill"": 1
	},
	""colors"": [""#7cd6fd"", ""#5e64ff""]
}","","15-07-2024 17:42:55","","","","","","","","","","",""
"","""Incoming Bills (Purchase Invoice)""","Incoming Bills (Purchase Invoice)","[[""Purchase Invoice"",""docstatus"",""="",1]]","2020-07-17 11:25:34.479703","Administrator",1,"Accounts","Sum","",0,"","","Purchase Invoice","","posting_date","base_net_total","","","",0,1,"","Last Year","","","Monthly",1,"Bar","","","#a83333","21-07-2020 17:37:30","","","","","","","","","","",""
"","""Incoming Leads""","Incoming Leads","[]","2020-07-20 20:17:15.639164","Administrator",1,"CRM","Count","",0,"","","Lead","","creation","","","","",0,1,"","Last Quarter","","","Weekly",1,"Bar","[[""Lead"",""company"",""="",""frappe.defaults.get_user_default(\""Company\"")""]]","{""type"": ""line"", ""axisOptions"": {""shortenYAxisNumbers"": 1}, ""tooltipOptions"": {}, ""lineOptions"": {""regionFill"": 1}}","","22-07-2020 15:49:19","","","","","","","","","","",""
"","""Interview Status""","Interview Status","[]","2022-08-20 23:10:33.131622","Administrator",1,"HR","Group By","",0,"","","Interview","","","","Count","status","",0,1,"","Last Year","","","Yearly",0,"Pie","[]","","","22-08-2022 12:13:19","","","","","","","","","","",""
"","""Item Shortage Summary""","Item Shortage Summary","{}","2020-07-20 21:01:04.383451","Administrator",1,"Stock","Report","Item Shortage Report",1,"","","","","","","","","",0,1,"","","","","",0,"Bar","{""company"":""frappe.defaults.get_user_default(\""Company\"")""}","","","","","","","","","","","","","",""
"","""Item-wise Annual Sales""","Item-wise Annual Sales","{""from_date"":""2020-06-22""}","2020-07-20 20:17:16.474566","Administrator",1,"Selling","Report","Item-wise Sales History",1,"","","","","","","","","",0,1,"","","","","",0,"Bar","{""company"":""frappe.defaults.get_user_default(\""Company\"")"",""to_date"":""frappe.datetime.nowdate()""}","","","","","","","","","","","","","",""
"","""Job Applicant Pipeline""","Job Applicant Pipeline","[]","2022-08-20 21:18:45.283444","Administrator",1,"HR","Group By","",0,"","","Job Applicant","","","","Count","job_title","",0,1,"","Last Year","","","Yearly",0,"Percentage","[]","","","20-08-2022 23:45:11","","","","","","","","","","",""
"","""Job Applicant Source""","Job Applicant Source","[]","2022-08-20 22:59:15.210760","Administrator",1,"HR","Group By","",0,"","","Job Applicant","","","","Count","source","",0,1,"","Last Year","","","Yearly",0,"Percentage","[]","","","20-08-2022 23:45:11","","","","","","","","","","",""
"","""Job Applicants by Country""","Job Applicants by Country","[]","2022-08-22 12:17:53.776473","Administrator",1,"HR","Group By","",0,"","","Job Applicant","","","","Count","country","",0,1,"","Last Year","","","Yearly",0,"Pie","[]","","","","","","","","","","","","","",""
"","""Job Application Frequency""","Job Application Frequency","[]","2022-08-20 22:00:12.227849","Administrator",1,"HR","Count","",0,"","","Job Applicant","","creation","","Count","","",0,1,"","Last Year","","","Monthly",1,"Line","[]","","","20-08-2022 23:11:18","","","","","","","","","","",""
"","""Job Application Status""","Job Application Status","[]","2020-07-22 11:56:32.699696","Administrator",1,"HR","Group By","",0,"","","Job Applicant","","","","Count","status","",0,1,"","Last Year","","","Yearly",0,"Pie","","","","22-08-2022 12:07:53","","","","","","","","","","",""
"","""Job Card Analysis""","Job Card Analysis","{""docstatus"":1,""range"":""Monthly""}","2020-07-08 22:40:22.549096","Administrator",1,"Manufacturing","Report","Job Card Summary",1,"","","","","","","","","",0,1,"","Last Year","","","Yearly",0,"Bar","{""company"":""frappe.defaults.get_user_default(\""Company\"")"",""from_date"":""frappe.defaults.get_user_default(\""year_start_date\"")"",""to_date"":""frappe.defaults.get_user_default(\""year_end_date\"")""}","{""barOptions"": {""stacked"": 1}}","","","","","","","","","","","","",""
"","""Job Offer Status""","Job Offer Status","[]","2022-08-20 21:33:17.378147","Administrator",1,"HR","Group By","",0,"","","Job Offer","","","","Count","status","",0,1,"","Last Year","","","Yearly",0,"Pie","[]","","","22-08-2022 12:12:19","","","","","","","","","","",""
"","""Last Month Downtime Analysis""","Last Month Downtime Analysis","{""from_date"":""2020-06-21 00:00:00"",""to_date"":""2020-07-21 18:46:45""}","2020-07-08 22:40:22.516460","Administrator",1,"Manufacturing","Report","Downtime Analysis",1,"","","","","","","","","",0,1,"","Last Year","","","Yearly",0,"Bar","{}","","","","","","","","","","","","","",""
"","""Lead Source""","Lead Source","[]","2020-07-20 20:17:15.842106","Administrator",1,"CRM","Group By","",0,"","","Lead","","","","Count","source","",0,1,"","","","","",0,"Donut","[[""Lead"",""company"",""="",""frappe.defaults.get_user_default(\""Company\"")""]]","{""truncateLegends"": 1, ""maxSlices"": 8}","","22-07-2020 16:11:14","","","","","","","","","","",""
"","""Location-wise Asset Value""","Location-wise Asset Value","{""status"":""In Location"",""group_by"":""Location"",""is_existing_asset"":0}","2020-07-14 18:23:53.195389","Administrator",1,"Assets","Report","Fixed Asset Register",0,"location","","","","","","","","",0,1,"","","","","",0,"Donut","{""company"":""frappe.defaults.get_user_default(\""Company\"")"",""from_date"":""frappe.datetime.add_months(frappe.datetime.nowdate(), -12)"",""to_date"":""frappe.datetime.nowdate()""}","{""type"": ""donut"", ""height"": 300, ""axisOptions"": {""shortenYAxisNumbers"": 1}}","","","","""f07b737a9c""","2020-07-14 18:23:53.195389","Administrator","asset_value","","","","","",""
"","""Material Request Analysis""","Material Request Analysis","[[""Material Request"",""status"",""not in"",[""Draft"",""Cancelled"",""Stopped"",null],false],[""Material Request"",""material_request_type"",""="",""Purchase"",false],[""Material Request"",""docstatus"",""="",""1"",false],[""Material Request"",""transaction_date"",""Timespan"",""last quarter"",false]]","2020-07-20 21:01:02.242563","Administrator",1,"Buying","Group By","",0,"","","Material Request","","","","Count","status","",0,1,"","","","","",0,"Donut","[[""Material Request"",""company"",""="",""frappe.defaults.get_user_default(\""Company\"")""]]","{""height"": 300}","","22-07-2020 12:43:56","","","","","","","","","","",""
"","""Oldest Items""","Oldest Items","{""range"":""30, 60, 90"",""show_warehouse_wise_stock"":0}","2022-03-30 00:58:02.041721","rohitw1991@gmail.com",1,"Stock","Report","Stock Ageing",1,"","","","","","","","","",0,1,"","","","","",0,"Bar","{""company"":""frappe.defaults.get_user_default(\""Company\"")"",""to_date"":""frappe.datetime.nowdate()"",""range1"":""30"",""range2"":""60"",""range3"":""90""}","{""colors"": [""#5e64ff""]}","","","","","","","","","","","","",""
"","""Opportunities via Campaigns""","Opportunities via Campaigns","[]","2020-07-20 20:17:15.705402","Administrator",1,"CRM","Group By","",0,"","","Opportunity","","","","Count","campaign","",0,1,"","","","","",0,"Pie","[[""Opportunity"",""company"",""="",""frappe.defaults.get_user_default(\""Company\"")""]]","{""truncateLegends"": 1, ""maxSlices"": 8}","","22-07-2020 15:45:32","","","","","","","","","","",""
"","""Opportunity Trends""","Opportunity Trends","[]","2020-07-20 20:17:15.672124","Administrator",1,"CRM","Count","",0,"","","Opportunity","","creation","","","","",0,1,"","Last Quarter","","","Weekly",1,"Bar","[[""Opportunity"",""company"",""="",""frappe.defaults.get_user_default(\""Company\"")""]]","","","22-07-2020 15:45:32","","","","","","","","","","",""
"","""Outgoing Bills (Sales Invoice)""","Outgoing Bills (Sales Invoice)","[[""Sales Invoice"",""docstatus"",""="",1]]","2020-07-17 11:25:34.507547","Administrator",1,"Accounts","Sum","",0,"","","Sales Invoice","","posting_date","base_net_total","","","",0,1,"","Last Year","","","Monthly",1,"Bar","","","#7b933d","21-07-2020 17:37:31","","","","","","","","","","",""
"","""Outgoing Salary""","Outgoing Salary","[[""Salary Slip"",""docstatus"",""="",""1"",false]]","2020-07-22 11:56:34.478848","Administrator",1,"Payroll","Sum","",0,"","","Salary Slip","","end_date","rounded_total","","","",0,1,"","Last Year","","","Monthly",1,"Line","[[""Salary Slip"",""company"",""="",""frappe.defaults.get_user_default(\""Company\"")""]]","","","01-07-2024 17:35:56","","","","","","","","","","",""
"","""Pending Work Order""","Pending Work Order","{""charts_based_on"":""Age""}","2020-07-08 22:40:22.499217","Administrator",1,"Manufacturing","Report","Work Order Summary",1,"","","","","","","","","",0,1,"","Last Year","","","Yearly",0,"Donut","{""company"":""frappe.defaults.get_user_default(\""Company\"")"",""from_date"":""frappe.defaults.get_user_default(\""year_start_date\"")"",""to_date"":""frappe.defaults.get_user_default(\""year_end_date\"")""}","{""axisOptions"": {""shortenYAxisNumbers"": 1}, ""height"": 300}","","","","","","","","","","","","",""
"","""Produced Quantity""","Produced Quantity","[[""Work Order"",""docstatus"",""="",""1"",false]]","2020-07-08 22:40:22.416285","Administrator",1,"Manufacturing","Sum","",0,"","","Work Order","","modified","produced_qty","Count","","",0,1,"","Last Year","","","Monthly",1,"Line","[[""Work Order"",""company"",""="",""frappe.defaults.get_user_default(\""Company\"")""]]","","","21-07-2020 17:46:34","","","","","","","","","","",""
"","""Profit and Loss""","Profit and Loss","{""filter_based_on"":""Fiscal Year"",""period_start_date"":""2020-04-01"",""period_end_date"":""2021-03-31"",""periodicity"":""Yearly"",""include_default_book_entries"":1}","2020-07-17 11:25:34.448572","Administrator",1,"Accounts","Report","Profit and Loss Statement",1,"","","","","","","","","",0,1,"","","","","",0,"Bar","{""company"":""frappe.defaults.get_user_default(\""Company\"")"",""from_fiscal_year"":""erpnext.utils.get_fiscal_year()"",""to_fiscal_year"":""erpnext.utils.get_fiscal_year()""}","","","","","","","","","","","","","",""
"","""Project Summary""","Project Summary","{""status"":""Open""}","2020-07-20 20:17:16.363681","Administrator",1,"Projects","Report","Project Summary",1,"","","","","","","","","",0,1,"","","","","",0,"Bar","{""company"":""frappe.defaults.get_user_default(\""Company\"")""}","{""type"": ""bar"", ""colors"": [""#fc4f51"", ""#78d6ff"", ""#7575ff""], ""axisOptions"": { ""shortenYAxisNumbers"": 1}, ""barOptions"": { ""stacked"": 1 }}","","","","","","","","","","""baca6d3834""","2020-05-04 19:31:54.575765","Administrator","Projects User"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""0f497b3505""","2020-05-04 19:31:54.575765","Administrator","Projects Manager"
"","""Purchase Order Analysis""","Purchase Order Analysis","{""group_by_po"":0}","2020-07-20 21:01:02.203880","Administrator",1,"Buying","Report","Purchase Order Analysis",1,"","","","","","","","","",0,1,"","","","","",0,"Donut","{""company"":""frappe.defaults.get_user_default(\""Company\"")"",""from_date"":""frappe.datetime.add_months(frappe.datetime.nowdate(), -1)"",""to_date"":""frappe.datetime.nowdate()""}","{""type"": ""donut"", ""height"": 300, ""axisOptions"": {""shortenYAxisNumbers"": 1}}","","","","","","","","","","""f24d0770f2""","2020-05-04 18:41:28.625119","Administrator","Purchase Manager"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""e88193c2bb""","2020-05-04 18:41:28.625119","Administrator","Purchase User"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ebcd84b819""","2020-05-04 18:41:28.625119","Administrator","Stock User"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""6bb7fd82ea""","2020-05-04 18:41:28.625119","Administrator","Supplier"
"","""Purchase Order Trends""","Purchase Order Trends","{""period"":""Monthly"",""period_based_on"":""posting_date"",""based_on"":""Item""}","2020-07-20 21:01:02.295012","Administrator",1,"Buying","Report","Purchase Order Trends",1,"","","","","","","","","",0,1,"","","","","",0,"Line","{""company"":""frappe.defaults.get_user_default(\""Company\"")"",""fiscal_year"":""erpnext.utils.get_fiscal_year()""}","{""type"": ""line"", ""axisOptions"": {""shortenYAxisNumbers"": 1}, ""tooltipOptions"": {}, ""lineOptions"": {""regionFill"": 1}}","","","","","","","","","","""75fe90eb38""","2013-06-13 18:45:01","Administrator","Stock User"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""19aa7f0c3b""","2013-06-13 18:45:01","Administrator","Purchase Manager"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""14b64ec7b4""","2013-06-13 18:45:01","Administrator","Purchase User"
